directory,filename,Hours_PCS,Seq_Lab
DBI_Trimmed_HTSeq_Count,S1_trimmed_GeneCount.txt,0,DBI
DBI_Trimmed_HTSeq_Count,S2_trimmed_GeneCount.txt,0,DBI
DBI_Trimmed_HTSeq_Count,S3_trimmed_GeneCount.txt,0,DBI
DBI_Trimmed_HTSeq_Count,S4_trimmed_GeneCount.txt,24,DBI
DBI_Trimmed_HTSeq_Count,S5_trimmed_GeneCount.txt,24,DBI
DBI_Trimmed_HTSeq_Count,S6_trimmed_GeneCount.txt,24,DBI
DBI_Trimmed_HTSeq_Count,S7_trimmed_GeneCount.txt,48,DBI
DBI_Trimmed_HTSeq_Count,S8_trimmed_GeneCount.txt,48,DBI
DBI_Trimmed_HTSeq_Count,S9_trimmed_GeneCount.txt,48,DBI
DNA_Link_HTSeq_Count,WT_0_hr_1_S1_GeneCount.txt,0,DNA
DNA_Link_HTSeq_Count,WT_0_hr_2_S2_GeneCount.txt,0,DNA
DNA_Link_HTSeq_Count,WT_0_hr_3_S3_GeneCount.txt,0,DNA
DNA_Link_HTSeq_Count,WT_24_hr_1_S6_GeneCount.txt,24,DNA
DNA_Link_HTSeq_Count,WT_24_hr_2_S7_GeneCount.txt,24,DNA
DNA_Link_HTSeq_Count,WT_24_hr_3_S8_GeneCount.txt,24,DNA
DNA_Link_HTSeq_Count,WT_6_hr_1_S4_GeneCount.txt,6,DNA
DNA_Link_HTSeq_Count,WT_6_hr_2_S5_GeneCount.txt,6,DNA
DNA_Link_HTSeq_Count,WT_6_hr_3_S15_GeneCount.txt,6,DNA
